id_acc	anno	coverage	mean
Plate1_D01	all	8331996	37.436779854431
Plate1_D02	all	10367721	31.3237209990508
Plate1_D03	all	3488383	32.3182976181228
Plate1_D07	all	9313368	26.049427017165
Plate1_D08	all	18737666	30.764199767463
Plate1_D10	all	8322315	32.2676202474912
Plate1_D11	all	9815554	31.619223937844
Plate1_E01	all	11928398	31.0987275910814
Plate1_E02	all	11336131	33.064843728429
Plate1_E03	all	10547004	31.6268013172272
Plate1_E05	all	10701932	27.1638803161896
Plate1_E07	all	15222281	32.6862905762941
Plate1_E08	all	14234281	30.8328674978385
Plate1_E11	all	12147129	31.0850160560574
Plate1_F01	all	6747105	35.8067200673474
Plate1_F02	all	13275827	32.2761286359034
Plate1_F03	all	9538690	33.5047894417368
Plate1_F07	all	19353949	29.5974997143994
Plate1_F08	all	8868281	29.7046067890722
Plate1_F09	all	9161875	29.4015690019783
Plate1_G01	all	4737487	31.5052685104993
Plate1_G02	all	14242083	30.5277044095305
Plate1_G06	all	12373644	30.5225202858592
Plate1_G08	all	16626275	31.0361641438025
Plate1_G09	all	13145553	31.4662684787776
Plate1_H02	all	13495273	30.1260967451344
Plate1_H05	all	18312219	30.0334274071318
Plate1_H06	all	9907148	31.4161855662195
Plate1_H07	all	14675490	34.6777927006185
Plate1_H09	all	8886354	31.8570248270551
Plate2_F02	all	3125922	26.7658949903421
Plate2_G05	all	3070766	26.6855891982652
Plate2_G07	all	5599671	25.1749254554419
A02	all	12492951	28.2457363356344
A03	all	9635844	27.729475487565
A04	all	23742671	29.3992702000546
A05	all	11507028	29.1755612309277
A06	all	14399346	29.4176832753376
A07	all	8112420	28.6000108475646
A08	all	7543155	32.2795169925582
A09	all	16711519	31.3724982151533
A10	all	14086243	27.4771846545598
B01	all	12545684	30.7430188740606
B02	all	15942634	29.8331881670243
B03	all	12313168	31.280983090623
B05	all	15170564	29.7610227279619
B06	all	13854683	29.3955264079301
B08	all	13421636	28.5250695220762
B09	all	19605687	27.7049817229052
B10	all	12927685	28.5872915375027
B11	all	8746430	29.410776739767
C01	all	15730851	28.080006606127
C03	all	13777428	29.2604831612983
C04	all	15346196	31.2603592447275
C05	all	10844937	31.274898139104
C06	all	10858065	30.4954335786349
C07	all	12787316	29.2979855976031
C09	all	20570474	32.1082635237282
C10	all	11472795	27.1665884381269
C11	all	10965596	30.7074325918993
D01	all	16639179	28.2603606824592
D03	all	10306892	28.8359575321057
D05	all	11677989	28.8876363901353
D06	all	11068299	30.7120904485865
D07	all	10268912	29.1059656563422
D08	all	7988848	29.3008704133562
D09	all	8862276	31.5943895225109
E01	all	17732620	27.4294041151279
E02	all	13407484	28.5910913635996
E03	all	10069484	29.8296715104766
E04	all	18920772	28.857485307682
E05	all	13030471	28.8100483858181
E06	all	18782055	29.698363677457
E07	all	12042748	28.5918629203235
F02	all	23715750	30.6031729968481
F03	all	17994999	30.4172175836187
F04	all	13138435	27.9280523136888
F05	all	12807839	27.6020880649733
F06	all	19430470	28.932197728619
F07	all	32643619	25.9158796088142
F08	all	8770644	29.8817509865866
F09	all	10545672	29.6326872294151
F10	all	9440418	28.4040600744586
F11	all	11011457	28.2465526587444
G01	all	10589142	28.4377903327767
G02	all	12240876	29.4444531584178
G03	all	11582216	28.5713113967137
G05	all	19843370	26.1515307127771
G06	all	18418548	30.2421504670184
G08	all	17212361	31.2972752546847
G09	all	8650913	30.5903434701054
G10	all	13467380	26.6278147642674
G11	all	11073413	26.2267017404661
H02	all	14423170	28.3283702542506
H03	all	13549788	31.146324946191
H04	all	14478805	30.5600703925497
H05	all	12286900	29.036868534781
H06	all	11749503	29.9318788207467
H07	all	19105546	28.2123316444346
H08	all	12271965	31.2872714353406
H09	all	11040268	30.5276556692283
H10	all	18421533	26.9561007761949
H11	all	8835866	29.5897312159329
TET_embryoid_body_Plate1_E01	all	2141134	17.7815587441048
TET_embryoid_body_Plate1_F01	all	1761826	20.3032535562536
TET_embryoid_body_Plate1_C01	all	4257398	18.9651284657906
TET_embryoid_body_Plate1_B01	all	4529381	17.2238546503374
TET_embryoid_body_Plate1_E08	all	9084765	22.9545068034231
TET_embryoid_body_Plate1_D08	all	14812083	18.9450666729318
TET_embryoid_body_Plate1_G08	all	5215615	20.801094405933
TET_embryoid_body_Plate1_F08	all	9572776	18.8899019469379
TET_embryoid_body_Plate1_A08	all	6727052	21.5906313790944
TET_embryoid_body_Plate1_C08	all	7367704	19.1673281119871
TET_embryoid_body_Plate1_B08	all	6430853	21.5926409762437
TET_embryoid_body_Plate1_H08	all	5978723	20.1486337467048
TET_embryoid_body_Plate1_D06	all	14867262	15.9509800795869
TET_embryoid_body_Plate1_G06	all	12275423	19.647933924558
TET_embryoid_body_Plate1_F06	all	10825037	18.439096328262
TET_embryoid_body_Plate1_A06	all	7137202	20.742806494758
TET_embryoid_body_Plate1_C06	all	14376168	16.0285898161457
TET_embryoid_body_Plate1_B06	all	17539246	17.7158470780329
TET_embryoid_body_Plate1_H06	all	3712384	19.7869616936179
TET_embryoid_body_Plate1_E09	all	11408998	20.1549163213106
TET_embryoid_body_Plate1_D09	all	8006889	23.3183449901703
TET_embryoid_body_Plate1_G09	all	6570049	18.9721872698362
TET_embryoid_body_Plate1_F09	all	7387466	19.6277586928996
TET_embryoid_body_Plate1_A09	all	7942765	24.6395682108183
TET_embryoid_body_Plate1_C09	all	8105159	18.5616099573124
TET_embryoid_body_Plate1_B09	all	6356963	21.150052312716
TET_embryoid_body_Plate1_H09	all	8303607	21.9578310967752
TET_embryoid_body_Plate1_E10	all	7377373	20.1155614606988
TET_embryoid_body_Plate1_D10	all	10248579	20.9822064112498
TET_embryoid_body_Plate1_G10	all	9706647	22.4538504387766
TET_embryoid_body_Plate1_A10	all	7781190	22.6462661880766
